id,names,amount
9,Wendy,15
15,Victor,77
381,Bob,3064
358,Ingrid,2041
299,Kevin,204
469,Charlie,747
404,Xavier,3794
135,Jerry,1645
257,Bob,766
317,Norbert,113
206,Victor,1212
450,Jerry,2136
184,Xavier,7835
82,George,413
374,Kevin,990
319,Quinn,903
140,Zelda,1678
115,Charlie,-115
437,Norbert,-461
206,Victor,1625
317,Norbert,138
3,Tim,6975
332,Zelda,416
95,Ingrid,3734
39,Hannah,1273
239,Patricia,2279
68,Norbert,37
191,Tim,29
409,Zelda,936
27,Quinn,4825
283,Oliver,-1095
288,Kevin,8529
166,Xavier,3297
57,Xavier,2947
160,Frank,16283
177,Michael,261
51,Wendy,560
297,Alice,946
380,Tim,1289
62,Ray,1900
358,Ingrid,2296
90,Wendy,427
27,Quinn,4181
331,Laura,498
291,Hannah,82
191,Tim,30
187,Kevin,-161
178,Wendy,793
286,Bob,3
402,Alice,194
341,Bob,177
422,Wendy,726
75,Ray,142
351,Sarah,66
465,Kevin,193
115,Charlie,-173
425,Xavier,885
165,George,1504
255,Patricia,117
352,Ray,687
81,Victor,1930
316,Patricia,189
228,Norbert,4602
437,Norbert,-515
135,Jerry,1695
131,Ray,1075
206,Victor,1383
160,Frank,15918
260,Tim,2627
17,Oliver,3329
340,Charlie,3447
360,Ray,318
276,Laura,1946
475,Patricia,205
253,Quinn,-768
160,Frank,15802
381,Bob,3047
309,Norbert,364
182,Charlie,669
53,Norbert,681
15,Victor,51
77,Xavier,-801
391,Ursula,892
86,Xavier,343
354,Kevin,1232
319,Quinn,1037
103,Frank,705
180,George,543
160,Frank,13882
81,Victor,1840
459,Frank,5077
86,Xavier,325
499,Yvonne,123
351,Sarah,88
341,Bob,-224
257,Bob,938
315,Ray,5
312,Charlie,9551
376,Ray,61
321,Ingrid,1107
373,Jerry,1051
63,Alice,889
180,George,447
154,George,587
126,Laura,10
126,Laura,60
475,Patricia,266
272,Hannah,336
30,George,190
482,Dan,2084
238,Sarah,987
432,Ingrid,2329
57,Xavier,2933
112,Zelda,4049
85,Charlie,695
10,Tim,-35
482,Dan,2353
340,Charlie,3663
361,Ray,1341
292,Dan,4626
433,Alice,5579
320,Quinn,9
68,Norbert,39
25,Norbert,4253
139,Charlie,103
207,Alice,2582
424,Oliver,1030
343,Dan,58
384,Victor,2
126,Laura,5
404,Xavier,3340
291,Hannah,114
266,Oliver,383
464,George,3564
482,Dan,2527
251,Ursula,-6
245,Hannah,1495
156,Oliver,5936
108,Quinn,2648
184,Xavier,7494
103,Frank,721
95,Ingrid,3438
260,Tim,2700
473,Frank,361
416,Bob,1031
223,Jerry,4107
261,Victor,293
45,Oliver,759
129,Bob,573
154,George,718
138,Yvonne,948
112,Zelda,3984
261,Victor,308
240,Tim,797
191,Tim,26
377,Ursula,5330
309,Norbert,391
182,Charlie,664
67,Patricia,194
434,Ingrid,316
191,Tim,25
75,Ray,41
369,Hannah,260
57,Xavier,3004
162,Sarah,-695
474,Xavier,225
445,Dan,165
172,Alice,13
222,Ingrid,1539
317,Norbert,132
116,Sarah,213
384,Victor,9
82,George,458
284,Sarah,806
358,Ingrid,2561
321,Ingrid,986
336,Quinn,1829
94,Bob,248
354,Kevin,1251
443,Jerry,-10
255,Patricia,123
459,Frank,4490
391,Ursula,856
216,George,884
246,Patricia,3286
208,Zelda,1682
8,Hannah,530
216,George,948
208,Zelda,1620
271,Sarah,4703
409,Zelda,733
12,Hannah,4258
404,Xavier,3300
445,Dan,116
32,George,894
231,Hannah,7
90,Wendy,388
175,Ursula,9799
182,Charlie,663
205,Quinn,121
352,Ray,771
450,Jerry,2381
210,Dan,3736
354,Kevin,1213
153,Edith,680
3,Tim,7429
432,Ingrid,2346
178,Wendy,813
298,Dan,1935
188,Frank,843
77,Xavier,-730
450,Jerry,2337
49,Charlie,1795
424,Oliver,1034
309,Norbert,362
261,Victor,360
271,Sarah,4676
39,Hannah,1807
384,Victor,21
368,Ray,1473
207,Alice,2249
311,Laura,94
183,Edith,2183
482,Dan,2103
405,Quinn,640
499,Yvonne,100
175,Ursula,8673
154,George,807
154,George,623
10,Tim,-91
102,Zelda,1028
291,Hannah,103
101,Ingrid,1716
313,Dan,4058
32,George,925
473,Frank,454
275,Oliver,723
45,Oliver,624
253,Quinn,-874
445,Dan,170
352,Ray,760
208,Zelda,1692
73,Xavier,-1842
432,Ingrid,2129
118,Edith,376
251,Ursula,-22
301,Patricia,-188
474,Xavier,166
115,Charlie,-163
275,Oliver,741
261,Victor,292
189,Alice,4733
41,Ursula,4592
223,Jerry,4064
358,Ingrid,2284
283,Oliver,-1186
408,Laura,7
405,Quinn,640
275,Oliver,727
373,Jerry,811
39,Hannah,1640
112,Zelda,4628
180,George,540
459,Frank,5189
281,Hannah,-2
190,Hannah,28
240,Tim,900
182,Charlie,661
275,Oliver,775
191,Tim,24
10,Tim,-125
3,Tim,6920
189,Alice,5481
312,Charlie,10582
341,Bob,-24
432,Ingrid,2302
490,Ray,1769
408,Laura,6
233,Frank,90
314,Dan,826
284,Sarah,818
177,Michael,262
362,Tim,372
299,Kevin,218
145,Ray,1512
191,Tim,25
73,Xavier,-987
391,Ursula,889
206,Victor,1480
369,Hannah,268
182,Charlie,663
86,Xavier,339
350,Kevin,5523
8,Hannah,536
267,Zelda,-33
206,Victor,1620
387,Bob,-18
107,Yvonne,1269
23,Charlie,1858
470,Kevin,-413
27,Quinn,5167
10,Tim,-70
165,George,1314
340,Charlie,3534
373,Jerry,1054
29,Norbert,777
422,Wendy,718
261,Victor,231
169,Patricia,6
49,Charlie,1584
473,Frank,422
272,Hannah,398
160,Frank,15952
432,Ingrid,2215
178,Wendy,978
408,Laura,6
419,Dan,936
437,Norbert,-362
377,Ursula,5388
450,Jerry,2328
409,Zelda,838
377,Ursula,5130
142,Wendy,204
362,Tim,353
437,Norbert,-734
299,Kevin,220
440,Ray,1887
282,Victor,-180
153,Edith,696
259,Hannah,2814
107,Yvonne,1264
95,Ingrid,3750
82,George,437
349,Jerry,450
191,Tim,26
369,Hannah,262
59,Alice,686
340,Charlie,3751
268,Xavier,1773
31,Sarah,2452
408,Laura,5
19,Frank,1011
299,Kevin,208
498,Tim,1253
344,Bob,253
170,Zelda,86
322,Ingrid,1476
309,Norbert,389
172,Alice,11
231,Hannah,4
220,Xavier,385
63,Alice,766
171,Xavier,6265
67,Patricia,198
321,Ingrid,1035
139,Charlie,99
193,Frank,792
24,Dan,-34
427,Edith,2489
86,Xavier,342
206,Victor,1426
34,Norbert,454
489,George,24
348,Hannah,2
275,Oliver,793
75,Ray,35
380,Tim,1657
340,Charlie,3171
380,Tim,1470
321,Ingrid,1147
57,Xavier,2906
310,Wendy,2073
228,Norbert,4250
391,Ursula,798
332,Zelda,210
0,Xavier,4568
129,Bob,549
479,Michael,747
288,Kevin,7910
93,Oliver,571
191,Tim,27
439,Michael,73
435,Alice,-810
191,Tim,28
83,Zelda,6397
90,Wendy,502
182,Charlie,667
471,Alice,178
280,Ingrid,-383
47,Sarah,132
384,Victor,26
173,Jerry,1540
222,Ingrid,1512
422,Wendy,717
