id,names,amount
380,Tim,1673
206,Victor,1311
240,Tim,1084
116,Sarah,227
129,Bob,467
215,Wendy,557
84,Ingrid,9
170,Zelda,78
330,Dan,1991
293,Bob,3684
10,Tim,-120
182,Charlie,655
166,Xavier,3187
281,Hannah,-3
180,George,621
355,Quinn,-344
453,Dan,3125
68,Norbert,40
184,Xavier,6824
126,Laura,-10
8,Hannah,609
317,Norbert,122
83,Zelda,6649
10,Tim,-63
109,Kevin,-705
128,Sarah,173
118,Edith,533
238,Sarah,997
260,Tim,2784
450,Jerry,2386
182,Charlie,668
257,Bob,1009
178,Wendy,806
254,Xavier,278
341,Bob,-41
85,Charlie,528
410,Kevin,-297
159,Oliver,187
297,Alice,980
461,Michael,2662
257,Bob,890
83,Zelda,6731
112,Zelda,4019
142,Wendy,160
8,Hannah,670
322,Ingrid,1494
160,Frank,14806
312,Charlie,10555
178,Wendy,730
340,Charlie,3412
372,Dan,614
280,Ingrid,-510
260,Tim,2389
453,Dan,3022
77,Xavier,-709
472,Ingrid,82
450,Jerry,1863
82,George,453
0,Xavier,4974
495,Bob,9
275,Oliver,746
459,Frank,5005
84,Ingrid,7
191,Tim,26
361,Ray,1551
208,Zelda,1724
208,Zelda,1699
129,Bob,494
84,Ingrid,11
180,George,604
139,Charlie,97
257,Bob,776
373,Jerry,1177
214,Xavier,1403
53,Norbert,684
253,Quinn,-741
344,Bob,254
95,Ingrid,3724
213,Bob,1632
131,Ray,1082
13,Tim,660
462,Yvonne,513
261,Victor,338
82,George,481
312,Charlie,10889
455,Yvonne,447
109,Kevin,-575
94,Bob,233
440,Ray,1969
170,Zelda,132
22,Bob,145
23,Charlie,2173
484,Charlie,1181
284,Sarah,821
215,Wendy,519
418,Hannah,220
391,Ursula,822
463,Tim,809
340,Charlie,3530
113,Ray,23
180,George,596
184,Xavier,6995
81,Victor,1843
68,Norbert,38
329,Zelda,546
57,Xavier,2929
349,Jerry,434
360,Ray,331
284,Sarah,822
251,Ursula,-14
314,Dan,880
391,Ursula,734
95,Ingrid,3535
490,Ray,1664
113,Ray,47
107,Yvonne,1234
314,Dan,885
343,Dan,141
57,Xavier,2959
227,Edith,435
309,Norbert,403
210,Dan,3457
344,Bob,246
404,Xavier,3600
321,Ingrid,1016
216,George,967
189,Alice,4939
404,Xavier,3780
7,Tim,554
222,Ingrid,1541
10,Tim,-107
17,Oliver,3465
231,Hannah,7
160,Frank,15592
422,Wendy,658
479,Michael,954
255,Patricia,123
167,Zelda,-66
432,Ingrid,2224
403,Edith,412
160,Frank,14164
56,Ray,-984
432,Ingrid,2034
160,Frank,14145
391,Ursula,861
309,Norbert,372
286,Bob,6
450,Jerry,2584
394,Bob,61
332,Zelda,322
384,Victor,14
126,Laura,52
384,Victor,8
493,Tim,171
309,Norbert,389
369,Hannah,261
280,Ingrid,-2
188,Frank,720
73,Xavier,-1743
458,Charlie,738
33,George,6883
245,Hannah,1473
84,Ingrid,7
329,Zelda,577
461,Michael,2788
